code,count,mean,std,min,25%,50%,75%,max
1007-4,0.0,,,,,,,
10230-1,181.0,57.69060773480663,14.66452144030111,10.0,55.0,60.0,66.0,83.0
10334-1,18.0,60.96666666666667,53.1594604496144,13.0,25.05,38.650000000000006,69.4,188.8
10362-2,0.0,,,,,,,
10368-9,5.0,3.1800000000000006,0.16431676725154976,3.0,3.0,3.3,3.3,3.3
10374-7,0.0,,,,,,,
10378-8,0.0,,,,,,,
10380-4,0.0,,,,,,,
10381-2,0.0,,,,,,,
10451-3,1.0,12.5,,12.5,12.5,12.5,12.5,12.5
10466-1,1324.0,12.507552870090635,3.0793148995214885,4.0,11.0,12.0,14.0,30.0
10501-5,19.0,9.328421052631578,11.29684383807063,0.2,1.75,4.3,14.9,38.5
10535-3,24.0,0.875,0.638101804607602,0.3,0.475,0.75,1.025,3.2
10634-4,1.0,102.0,,102.0,102.0,102.0,102.0,102.0
10834-0,375.0,20.938933333333335,12.78093830224988,2.0,3.1,26.0,30.0,43.0
10839-9,193.0,7.425357512953367,33.88593260840419,0.01,0.02,0.06,0.51,316.5
10886-0,2.0,0.81,0.26870057685088805,0.62,0.715,0.81,0.905,1.0
10900-9,0.0,,,,,,,
10976-9,0.0,,,,,,,
10998-3,0.0,,,,,,,
11011-4,2.0,9311103.5,4870999.107405431,5866787.0,7588945.25,9311103.5,11033261.75,12755420.0
11031-2,1.0,19.0,,19.0,19.0,19.0,19.0,19.0
11038-7,2.0,2.0,0.5656854249492379,1.6,1.8,2.0,2.2,2.4
11040-3,1.0,14.3,,14.3,14.3,14.3,14.3,14.3
11054-4,9.0,3.6333333333333337,1.8887826767524103,1.2,2.0,3.4,4.4,6.8
11064-3,7.0,16.571428571428573,5.94017796751194,10.0,12.5,17.0,18.0,28.0
11090-8,9.0,3.4444444444444446,2.6034165586355513,2.0,2.0,2.0,4.0,10.0
11259-9,0.0,,,,,,,
11268-0,0.0,,,,,,,
11274-8,0.0,,,,,,,
11282-1,7.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
11524-6,0.0,,,,,,,
11555-0,282.0,1.0517730496453899,5.583517977197801,-17.0,-2.0,1.0,4.0,17.0
11556-8,289.0,96.66089965397924,84.01754050011112,12.0,43.0,68.0,111.0,485.0
11557-6,286.0,44.26923076923077,12.01056102970686,18.0,36.0,42.0,54.0,79.0
11558-4,289.0,7.383979238754325,0.0794670589386756,7.05,7.34,7.39,7.44,7.62
11559-2,190.0,93.16315789473684,5.264406841509,72.0,91.0,95.0,97.0,99.0
11562-6,1.0,15.0,,15.0,15.0,15.0,15.0,15.0
11572-5,7.0,72.57142857142857,146.4045276427123,4.0,8.5,17.0,33.5,403.0
11579-0,501.0,3.011367265469062,5.258193659884191,0.023,1.17,2.036,3.191,54.3
11580-8,44.0,2.655545454545455,1.6741196152778117,0.316,1.4725,2.215,3.4175,8.56
11878-6,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
11884-4,11.0,23.636363636363637,11.13797761959259,5.0,17.0,27.0,30.5,40.0
12179-8,1.0,0.6,,0.6,0.6,0.6,0.6,0.6
12183-0,2.0,41.5,23.33452377915607,25.0,33.25,41.5,49.75,58.0
12190-5,5.0,1.46,1.1436782764396638,0.4,0.7,0.8,2.6,2.8
12209-3,6.0,1.0,1.2649110640673518,0.0,0.0,0.5,1.75,3.0
12480-0,2.0,0.8999999999999999,0.7071067811865475,0.4,0.65,0.8999999999999999,1.15,1.4
12515-3,2.0,331.35,142.0577523403774,230.9,281.125,331.35,381.575,431.8
12598-9,0.0,,,,,,,
12841-3,2.0,20.1,2.687005768508881,18.2,19.15,20.1,21.05,22.0
13046-8,157.0,3.627388535031847,4.983030324356601,0.0,1.0,2.0,4.0,32.0
13202-7,0.0,,,,,,,
13203-5,0.0,,,,,,,
13362-9,1.0,24.0,,24.0,24.0,24.0,24.0,24.0
13457-7,685.0,97.58686131386861,35.921252439609525,9.0,70.0,96.0,124.0,218.0
13458-5,310.0,21.63483870967742,10.12352570143539,7.0,14.0,19.0,27.0,61.0
13502-0,4.0,45.25,8.5,41.0,41.0,41.0,45.25,58.0
13503-8,19.0,40.05263157894737,4.129483209670112,23.0,41.0,41.0,41.0,41.0
13655-6,0.0,,,,,,,
13945-1,466.0,32.73605150214592,276.5852550293393,0.0,1.0,2.0,6.0,5009.0
13950-1,0.0,,,,,,,
13951-9,0.0,,,,,,,
13952-7,0.0,,,,,,,
13953-5,0.0,,,,,,,
13954-3,0.0,,,,,,,
13955-0,0.0,,,,,,,
13964-2,3.0,0.4366666666666667,0.10503967504392488,0.33,0.385,0.44,0.49,0.54
13965-9,6.0,8.333333333333334,3.0572318634128273,3.9,6.5,9.05,9.649999999999999,12.5
13967-5,7.0,46.75714285714285,25.593349210478955,5.0,31.2,56.8,62.599999999999994,77.9
13969-1,42.0,1.4404761904761905,0.951778700403214,0.5,0.8250000000000001,1.25,1.6,5.6
13978-2,45.0,4.464444444444444,1.3049130161807643,2.5,3.5,4.4,5.1,9.1
13980-8,45.0,46.34222222222221,6.30769691757938,26.7,42.7,47.6,51.6,56.4
13981-6,45.0,18.864444444444448,4.660235828774975,10.5,14.4,19.9,22.9,27.2
13982-4,45.0,16.09333333333333,3.3348299670434343,9.7,13.2,16.4,18.4,24.1
13983-2,45.0,14.235555555555553,9.4762179729419,4.6,7.0,11.5,18.6,49.1
13990-7,23.0,7.778260869565218,5.042632476444235,0.2,4.9,6.7,9.65,20.2
13992-3,23.0,57.38695652173914,25.270973365932306,14.7,31.75,60.8,75.44999999999999,100.0
13993-1,23.0,9.082608695652175,7.103050060227844,0.6,5.1,5.9,11.0,28.8
13994-9,23.0,14.113043478260868,7.019278928767678,1.0,9.6,12.7,16.6,31.8
13995-6,21.0,14.523809523809524,15.910496684953136,1.5,3.2,5.8,16.6,50.6
14062-4,1.0,360.0,,360.0,360.0,360.0,360.0,360.0
14117-6,6.0,1755.7116666666664,2148.2069925444025,0.58,1.8125,905.955,3445.0,4730.0
14118-4,1.0,2.8,,2.8,2.8,2.8,2.8,2.8
14135-8,2.0,381.5,3.5355339059327378,379.0,380.25,381.5,382.75,384.0
14196-0,2.0,52840.0,22797.122625454293,36720.0,44780.0,52840.0,60900.0,68960.0
14235-6,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
14246-3,1.0,36.0,,36.0,36.0,36.0,36.0,36.0
14251-3,4.0,1.6500000000000001,0.5446711546122731,0.9,1.425,1.8,2.025,2.1
14267-9,0.0,,,,,,,
14273-7,0.0,,,,,,,
14286-9,3.0,32.0,10.0,22.0,27.0,32.0,37.0,42.0
14288-5,1.0,38.0,,38.0,38.0,38.0,38.0,38.0
14310-7,0.0,,,,,,,
14314-9,0.0,,,,,,,
14316-4,0.0,,,,,,,
14334-7,27.0,0.8407407407407407,0.31040824143903845,0.3,0.6499999999999999,0.8,1.0,1.5
14338-8,3.0,24.166666666666668,3.8188130791298667,20.0,22.5,25.0,26.25,27.5
14627-4,67.0,24.69402985074627,6.791658890429047,9.0,19.5,25.0,30.0,37.0
14628-2,4.0,4.5,1.9148542155126762,3.0,3.0,4.0,5.5,7.0
14749-6,343.0,113.77842565597668,39.81239486201121,70.0,92.0,101.0,121.0,371.0
14775-1,1.0,35.0,,35.0,35.0,35.0,35.0,35.0
14803-1,9.0,327.1111111111111,296.557095870443,77.0,87.0,226.0,474.0,795.0
14804-9,84.0,267.67857142857144,81.14811101206338,139.0,193.25,274.0,306.25,528.0
14836-1,20.0,31.21550000000001,59.92052740922763,0.07,0.2475,0.7050000000000001,47.697500000000005,213.62
14875-9,2.0,59.5,0.7071067811865476,59.0,59.25,59.5,59.75,60.0
14957-5,41.0,33.96341463414634,48.73842814503542,0.2,2.3,8.6,49.3,193.0
14959-1,13.0,79.15384615384616,260.223950394606,1.7,2.7,3.5,14.9,944.9
14979-9,1234.0,38.90218800648299,22.480417793687394,19.4,28.3,32.1,37.975,229.4
15013-6,3.0,53.0,13.228756555322953,43.0,45.5,48.0,58.0,68.0
15014-4,3.0,8.666666666666666,7.571877794400365,0.0,6.0,12.0,13.0,14.0
15015-1,3.0,38.0,17.776388834631177,18.0,31.0,44.0,48.0,52.0
15016-9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1504-0,2.0,104.5,28.991378028648448,84.0,94.25,104.5,114.75,125.0
15061-5,3.0,12.333333333333334,4.725815626252608,7.0,10.5,14.0,15.0,16.0
15067-2,20.0,11.473000000000003,17.010034221321437,2.25,3.59,5.199999999999999,7.725,72.3
15069-8,5.0,353.6,74.4264737845345,280.0,292.0,339.0,401.0,456.0
1507-3,8.0,110.25,31.675813215403686,71.0,91.5,110.5,123.75,167.0
15087-0,1.0,3.1,,3.1,3.1,3.1,3.1,3.1
1518-0,9.0,95.77777777777777,28.8261069942586,64.0,72.0,93.0,102.0,156.0
15359-3,1.0,0.9,,0.9,0.9,0.9,0.9,0.9
15400-5,0.0,,,,,,,
15432-8,3.0,1.2,0.17320508075688776,1.0,1.15,1.3,1.3,1.3
15530-9,0.0,,,,,,,
15579-6,0.0,,,,,,,
1558-6,112.0,107.75,48.2774451655399,63.0,83.0,94.0,101.25,295.0
15609-1,0.0,,,,,,,
15680-2,0.0,,,,,,,
15685-1,0.0,,,,,,,
15875-8,0.0,,,,,,,
15924-4,0.0,,,,,,,
15948-3,0.0,,,,,,,
15975-6,0.0,,,,,,,
16054-9,0.0,,,,,,,
16128-1,0.0,,,,,,,
16130-7,0.0,,,,,,,
16131-5,0.0,,,,,,,
16182-8,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
16291-7,0.0,,,,,,,
16362-6,10.0,36.6,16.8206222635589,21.0,25.5,33.0,36.5,73.0
16478-0,0.0,,,,,,,
16482-2,1.0,2.9,,2.9,2.9,2.9,2.9,2.9
1649-3,22.0,51.027272727272724,21.441641324394517,18.0,42.400000000000006,45.4,57.5,130.0
16616-5,7.0,42.714285714285715,19.146055169967223,24.0,28.5,36.0,55.0,72.0
1668-3,4.0,169.75,159.86530788969404,31.0,46.75,138.5,261.5,371.0
16715-5,5.0,53.0,42.017853348308975,18.0,21.0,47.0,57.0,122.0
16915-1,1.0,78.0,,78.0,78.0,78.0,78.0,78.0
17146-2,3.0,15.0,12.0,3.0,9.0,15.0,21.0,27.0
17284-1,0.0,,,,,,,
17351-8,0.0,,,,,,,
1742-6,1289.0,41.691311093871214,84.93193759607264,3.1,14.0,21.0,37.0,1309.0
1743-4,1.0,61.0,,61.0,61.0,61.0,61.0,61.0
17433-4,30.0,5.65,0.5276819836436232,5.0,5.0,6.0,6.0,7.0
1744-2,647.0,53.106646058732615,128.9473915419885,5.0,13.0,19.0,33.0,1411.0
1746-7,6.0,20.349999999999998,10.7676831305532,12.0,13.25,14.35,29.175,34.4
1747-5,4.0,2.25,0.5567764362830021,1.5,2.0250000000000004,2.35,2.575,2.8
1751-7,648.0,4.246913580246914,1.5199720504835441,2.4,4.0,4.2,4.5,41.3
1754-1,12.0,30.049999999999997,26.667907168116376,0.5,11.725000000000001,26.75,39.8,76.5
1759-0,581.0,1.4328227194492256,0.34007091233148884,0.68,1.19,1.46,1.67,3.0
17606-5,92.0,154.41304347826087,137.41644031831245,0.0,50.0,120.0,244.0,600.0
1761-6,9.0,7.433333333333334,2.3194827009486403,4.3,6.2,7.4,8.5,10.9
1763-2,2.0,9.0,4.242640687119285,6.0,7.5,9.0,10.5,12.0
17656-0,0.0,,,,,,,
1777-2,1.0,84.0,,84.0,84.0,84.0,84.0,84.0
17780-8,0.0,,,,,,,
1779-8,1.0,59.0,,59.0,59.0,59.0,59.0,59.0
17811-1,4.0,3.25,6.5,0.0,0.0,0.0,3.25,13.0
17813-7,4.0,9.825,12.577327485068784,0.0,0.0,6.5,16.325,26.3
17815-2,4.0,12.525,14.483410049662568,0.0,0.0,12.05,24.575000000000003,26.0
17817-8,4.0,10.575,12.247006436948855,0.0,0.0,10.0,20.575,22.3
17819-4,4.0,64.05,41.51798806943002,27.2,28.55,64.5,100.0,100.0
1783-0,58.0,112.41379310344827,80.23890522480812,44.0,71.25,84.5,122.75,472.0
17842-6,4.0,10.35,3.4161381705077445,7.0,8.725000000000001,9.65,11.275,15.1
17849-1,46.0,3.081521739130434,2.2340098153482817,0.4,1.6,2.2,3.9,9.8
17856-6,9.0,5.788888888888888,0.8880377869838147,5.0,5.5,5.6,5.8,8.0
17861-6,3932.0,9.001144455747712,0.8271353269779137,4.9,8.6,9.1,9.5,17.4
17862-4,6.0,8.549999999999999,2.572741728195817,5.5,6.275,9.0,10.450000000000001,11.5
17864-0,2.0,5.75,0.21213203435596475,5.6,5.675,5.75,5.825,5.9
1795-4,8.0,21746.0,61083.82258129281,8.0,24.25,77.5,343.5,172920.0
1798-8,148.0,77.42567567567568,99.39764784691609,15.0,47.0,62.0,76.0,1158.0
18182-6,529.0,287.67674858223063,9.058493002087399,244.0,281.0,289.0,295.0,308.0
18185-9,2.0,18.5,4.384062043356596,15.4,16.95,18.5,20.05,21.6
1823-4,6.0,11.416666666666666,6.904901640622166,6.9,7.4,9.2,10.775,25.1
1825-9,1.0,145.0,,145.0,145.0,145.0,145.0,145.0
18262-6,8.0,80.875,36.79843746682731,46.0,58.0,62.5,97.5,138.0
18282-4,0.0,,,,,,,
18309-5,92.0,7.465217391304347,14.129210913958458,0.9,1.0,1.4,4.625,60.0
18311-1,0.0,,,,,,,
18319-4,0.0,,,,,,,
1834-1,6.0,34.64666666666667,38.51026183586222,2.8,11.5,20.4,41.959999999999994,106.6
1835-8,2.0,225.0,145.6639969244288,122.0,173.5,225.0,276.5,328.0
18481-2,0.0,,,,,,,
18488-7,2.0,6.949999999999999,1.2020815280171309,6.1,6.5249999999999995,6.949999999999999,7.375,7.8
1854-9,1.0,0.912,,0.912,0.912,0.912,0.912,0.912
1863-0,342.0,16.433625730994155,2.6102905446610953,6.8,14.8,16.4,18.2,26.9
1869-7,2.0,62.605,85.41142809952308,2.21,32.4075,62.605,92.8025,123.0
1874-7,1.0,0.32,,0.32,0.32,0.32,0.32,0.32
1884-6,1.0,71.0,,71.0,71.0,71.0,71.0,71.0
1887-9,0.0,,,,,,,
18886-2,1.0,0.5,,0.5,0.5,0.5,0.5,0.5
18964-7,2.0,0.09,0.042426406871192854,0.06,0.075,0.09,0.105,0.12
19000-9,2.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
19048-8,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19074-4,3.0,9.666666666666666,4.725815626252608,6.0,7.0,8.0,11.5,15.0
19080-1,20.0,35463.2,96147.2167496009,1.0,1.75,49.0,3909.25,331500.0
19113-0,12.0,295.7583333333333,276.57612615807255,17.1,76.925,139.0,566.75,720.0
19123-9,2087.0,2.0115476760900814,0.3716665204183961,0.7,1.8,2.0,2.2,8.4
19153-6,4.0,11955.8375,22218.973007446246,1.35,900.3375,1275.0,12330.5,45272.0
19161-9,306.0,0.5699346405228759,0.823991482314743,0.2,0.2,0.2,0.2,4.0
1920-8,1888.0,40.83474576271186,95.60227307000365,4.0,17.0,22.0,32.0,1950.0
19218-7,1.0,15.0,,15.0,15.0,15.0,15.0,15.0
1922-4,80.0,4.9875,4.408891332842093,0.0,1.675,3.9499999999999997,7.1499999999999995,18.8
19235-1,26.0,1.5038461538461538,0.9136654833059064,0.1,0.8250000000000001,1.4,1.8499999999999999,3.5
19237-7,4.0,2.25,3.2015621187164243,0.0,0.75,1.0,2.5,7.0
1924-0,13.0,6.63076923076923,4.138515155500544,0.4,3.8,6.8,9.4,13.2
1925-7,47.0,3.082978723404255,4.983682903450635,-12.4,1.05,2.8,4.95,15.1
19255-9,148.0,177.4635135135135,114.07833574737569,45.0,87.5,137.0,249.0,508.0
19258-3,13.0,46.53846153846154,23.418708278551517,18.0,36.0,39.0,48.0,116.0
19261-7,0.0,,,,,,,
1927-3,3.0,2.9333333333333336,2.6633312473917576,0.0,1.8,3.6,4.4,5.2
19270-8,0.0,,,,,,,
19289-8,0.0,,,,,,,
19295-5,0.0,,,,,,,
19415-9,0.0,,,,,,,
19429-0,0.0,,,,,,,
1952-1,11.0,2.5636363636363635,1.0830168302226215,1.87,2.02,2.2,2.6500000000000004,5.7
1953-9,3.0,6825.0,1337.704376908441,5474.0,6163.0,6852.0,7500.5,8149.0
1954-7,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
19550-3,0.0,,,,,,,
19554-5,0.0,,,,,,,
1959-6,408.0,24.995098039215687,5.597909006794407,10.0,22.0,25.0,28.0,42.0
1960-4,170.0,25.90882352941176,6.232809145989524,10.9,22.05,25.0,28.0,48.0
1963-8,2868.0,25.130753138075313,4.260278306615162,6.0,23.0,25.0,27.0,47.0
19642-8,0.0,,,,,,,
19659-2,0.0,,,,,,,
1968-7,835.0,0.269688622754491,0.5426234336054251,0.0,0.1,0.1,0.2,5.2
1971-1,213.0,0.41497652582159633,0.26517638205033855,0.0,0.3,0.4,0.5,2.0
1975-2,1798.0,0.5783314794215795,0.5340144133610882,-0.2,0.3,0.5,0.6,6.4
19803-6,0.0,,,,,,,
19852-3,153.0,1320.6274509803923,503.682725458891,6.0,1000.0,1250.0,1500.0,2500.0
1986-9,5.0,2.1000000000000005,1.3946325680981353,0.4,1.4,1.9,2.7,4.1
19869-7,2.0,58.17,78.95554318728989,2.34,30.255,58.17,86.08500000000001,114.0
19870-5,1.0,2.66,,2.66,2.66,2.66,2.66,2.66
1988-5,150.0,47.315999999999995,68.49092339806394,0.1,3.1,11.649999999999999,68.75,308.0
1989-3,54.0,33.97222222222222,18.361705604447604,9.0,20.25,29.0,40.349999999999994,78.0
1990-1,9.0,33.22222222222222,8.012143561147942,20.0,29.0,36.0,40.0,40.0
19925-7,2.0,51.93,72.22388663039396,0.86,26.395,51.93,77.465,103.0
19926-5,1.0,0.89,,0.89,0.89,0.89,0.89,0.89
1994-3,2.0,1.1,0.07071067811865465,1.05,1.075,1.1,1.125,1.15
19991-9,2.0,24.78,34.25225248067636,0.56,12.67,24.78,36.89,49.0
19994-3,310.0,53.87741935483871,24.100070628982692,21.0,40.0,40.0,60.0,100.0
2003,10.0,250.6,620.2533890811615,10.0,48.0,66.5,69.25,2015.0
20077-4,271.0,5.428044280442805,2.394706247715322,0.0,5.0,5.0,6.0,16.0
20079-0,33.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
20081-6,0.0,,,,,,,
20112-9,173.0,164.41098265895954,249.2779812631541,0.45,0.45,0.55,450.0,650.0
20116-0,57.0,486.140350877193,113.40090680484174,58.0,435.0,492.0,542.0,760.0
20124-4,0.0,,,,,,,
20149-1,1.0,2.04,,2.04,2.04,2.04,2.04,2.04
20150-9,13.0,44.65538461538461,154.84530412723666,0.08,0.8,2.07,2.5,560.0
20152-5,1.0,116.0,,116.0,116.0,116.0,116.0,116.0
2019-8,143.0,46.583216783216784,17.65207958069237,19.2,36.0,41.0,50.5,147.0
2020-6,1.0,29.0,,29.0,29.0,29.0,29.0,29.0
2021-4,51.0,47.71568627450981,11.991236342413066,21.0,38.5,49.0,52.5,89.0
2026-3,3.0,16.233333333333334,5.139390365922142,11.5,13.5,15.5,18.6,21.7
2027-1,15.0,22.446666666666665,4.56302948656242,15.0,19.0,22.7,25.5,32.0
2028-9,1021.0,26.324191968658177,3.3198293805635672,14.0,24.0,26.0,28.0,45.0
2039-6,15.0,30.306666666666665,89.08509949694702,0.7,1.4,2.1,3.05,348.2
20404-0,0.0,,,,,,,
20405-7,101.0,0.30297029702970296,0.2692416927389049,0.2,0.2,0.2,0.2,1.0
20408-1,0.0,,,,,,,
20433-9,2.0,8.3,4.808326112068523,4.9,6.6,8.3,10.0,11.7
20436-2,16.0,118.3125,41.63927432925154,62.0,92.25,109.0,146.0,203.0
20437-0,6.0,105.5,20.15688467993008,83.0,95.0,97.0,120.75,133.0
20438-8,23.0,145.1304347826087,44.62704474340245,58.0,124.0,145.0,172.5,210.0
20439-6,1.0,135.0,,135.0,135.0,135.0,135.0,135.0
20448-7,7.0,11.628571428571428,5.568277497190158,3.8,7.5,14.0,14.3,20.0
20449-5,0.0,,,,,,,
20453-7,0.0,,,,,,,
20454-5,0.0,,,,,,,
20468-5,1.0,10.0,,10.0,10.0,10.0,10.0,10.0
20495-8,7.0,4.428571428571429,1.9023794624226837,2.0,3.0,4.0,6.0,7.0
20496-6,8.0,3.625,1.8468119248354136,2.0,3.0,3.0,3.25,8.0
20502-1,0.0,,,,,,,
20507-0,0.0,,,,,,,
20509-6,36.0,12.247222222222224,2.601261903781219,5.4,10.8,12.95,13.9,18.4
20563-3,4.0,1.4500000000000002,1.5110702608857516,0.3,0.45,0.95,1.95,3.6
20565-8,11.0,24.545454545454547,3.6156226673599763,17.0,23.5,25.0,26.0,31.0
20569-0,2.0,3.05,0.07071067811865482,3.0,3.025,3.05,3.075,3.1
20570-8,179.0,38.37988826815643,6.806254393118902,16.0,34.65,39.8,43.150000000000006,54.0
20572-4,11.0,95.4090909090909,5.046474917297133,80.6,95.95,97.3,97.6,97.8
20578-1,82.0,12.060975609756099,8.241130752115989,2.6,6.225,9.8,16.675,42.9
